Type;N;Cas;Temps_ms
ARN;1000;Construction_Alea;1
ARN;1000;Recherche_Alea;0
ARN;1000;Construction_Triee_Pire_Cas;0
ARN;1000;Recherche_Triee_Pire_Cas;0
ARN;5000;Construction_Alea;2
ARN;5000;Recherche_Alea;0
ARN;5000;Construction_Triee_Pire_Cas;1
ARN;5000;Recherche_Triee_Pire_Cas;1
ARN;10000;Construction_Alea;3
ARN;10000;Recherche_Alea;2
ARN;10000;Construction_Triee_Pire_Cas;3
ARN;10000;Recherche_Triee_Pire_Cas;2
ARN;20000;Construction_Alea;5
ARN;20000;Recherche_Alea;2
ARN;20000;Construction_Triee_Pire_Cas;1
ARN;20000;Recherche_Triee_Pire_Cas;2
ARN;50000;Construction_Alea;11
ARN;50000;Recherche_Alea;6
ARN;50000;Construction_Triee_Pire_Cas;7
ARN;50000;Recherche_Triee_Pire_Cas;7
ARN;100000;Construction_Alea;34
ARN;100000;Recherche_Alea;12
ARN;100000;Construction_Triee_Pire_Cas;10
ARN;100000;Recherche_Triee_Pire_Cas;18
ABR;1000;Construction_Alea;1
ABR;1000;Recherche_Alea;0
ABR;1000;Construction_Triee_Pire_Cas;4
ABR;1000;Recherche_Triee_Pire_Cas;4
ABR;5000;Construction_Alea;0
ABR;5000;Recherche_Alea;0
ABR;5000;Construction_Triee_Pire_Cas;27
ABR;5000;Recherche_Triee_Pire_Cas;91
ABR;10000;Construction_Alea;1
ABR;10000;Recherche_Alea;1
ABR;10000;Construction_Triee_Pire_Cas;107
ABR;10000;Recherche_Triee_Pire_Cas;329
ABR;20000;Construction_Alea;2
ABR;20000;Recherche_Alea;2
ABR;20000;Construction_Triee_Pire_Cas;441
ABR;20000;Recherche_Triee_Pire_Cas;1388
ABR;50000;Construction_Alea;9
ABR;50000;Recherche_Alea;7
ABR;50000;Construction_Triee_Pire_Cas;3511
ABR;50000;Recherche_Triee_Pire_Cas;9952
ABR;100000;Construction_Alea;33
ABR;100000;Recherche_Alea;12
ABR;100000;Construction_Triee_Pire_Cas;14605
ABR;100000;Recherche_Triee_Pire_Cas;49863
